,phone_no_m,sms_count,sms_nunique,sms_rate,calltype_2,calltype_rate,hour_mode,hour_mode_count,hour_nunique,day_mode,day_mode_count,day_nunique,busi_count,flow_mean,flow_median,flow_min,flow_max,flow_var,flow_sum,month_ids,flow_month,arpu_mean,arpu_var,arpu_max,arpu_min,arpu_median,arpu_sum,arpu_skew,arpu_sem,arpu_quantile,label
3603,4f64036e8dc3747271ece7e5db9513d68b8da352904ebdeb7e60da0daad8ef3825f1c828db2930cb7116569ba9340d6485e203b46903f50d2263f89b3f498e10,60.0,7.0,8.571428571428571,60.0,1.0,16.0,28.0,10.0,9.0,24.0,7.0,13,0.5947916772630479,0.0123910903930663,0.0007133483886718,10.22062873840332,5.774061530195446,10.706250190734863,2,5.353125095367432,15.846666666666666,5.4945333333333295,17.2,13.14,17.2,47.54,-1.7320508075688752,1.3533333333333328,17.2,1
3606,662e2fce8b7ed2a47258f78032fa3bf79bddd69664d426bfa24c1cc996471456fa788faaffc902b53707f7d09ac15aac09e0e8b2fb908383e416593cb02e7ca8,43.0,9.0,4.777777777777778,30.0,0.6976744186046512,16.0,12.0,8.0,26.0,13.0,5.0,0,0.0,0.0,0.0,0.0,,0.0,0,,39.265,1642.6809,100.06,19.0,19.0,157.06,2.0,20.265,19.0,1
3607,2ba1b88400ba5e8dd889ea7b4dfafe5acacc509cc47c551ccb276033afb5990326a3d3eb2dc5ed9f8016e659360f9291e760fcb18567a9ccd22d626197407807,419.0,67.0,6.253731343283582,324.0,0.7732696897374701,14.0,51.0,19.0,31.0,44.0,31.0,218,77.2054033716083,0.134268283843994,7.43865966796875e-05,7418.125905990601,318440.9422746874,42154.15024089813,4,10538.537560224531,,,,,,0.0,,,,1
3751,173746b85f952f7ab06ff13b31b5206a27c829592a5e0b3dd94ce78f1980ff0cdfa015ec332ad570f518008045ebb9d8019b9a7ee104e54c05b7cab185fe21df,60.0,5.0,12.0,53.0,0.8833333333333333,0.0,25.0,8.0,10.0,26.0,4.0,9,12.936845684051516,0.0060696601867675,0.0009222030639648,129.22912311553958,1669.6175130754852,129.36845684051517,1,129.36845684051517,32.27,,32.27,32.27,32.27,32.27,,,32.27,1
3754,5ca01f710c8d78cd83b9627749282f9cbb84b1359d9da1c17573f0f7067a5ce4c922f1dfc37b933c9f7104042f621f36a664bcb75b5d5e64a39bd4534000108a,313.0,138.0,2.2681159420289854,308.0,0.9840255591054312,11.0,42.0,22.0,5.0,53.0,24.0,0,0.0,0.0,0.0,0.0,,0.0,0,,,,,,,0.0,,,,1
3846,06d8211fb50cda38707380566309b237880f8c905e1b2d1ec3b1123425b72ecd49b9087bb452f451855dd15bcbd3456e517a54e56e72f3a62bdd9f0482862889,722.0,89.0,8.112359550561798,717.0,0.9930747922437672,15.0,148.0,17.0,13.0,162.0,30.0,17,0.5874711227416992,0.0150041580200195,0.0002574920654296,9.641161918640137,3.7660418100258783,14.68677806854248,3,4.89559268951416,53.432500000000005,214.4528916666666,70.6,41.2,50.965,213.73,0.38555397355531,7.322105087791806,50.965,1
3412,48fb5da30a79bdf78c151efb9d421feb0a01c6d90bcf399d831a1d5db0f76293d236fb8ca9a2d9ff2777c9003d481d443af50b1ec3ed5548fcce9cfb160f300e,30.0,2.0,15.0,30.0,1.0,12.0,24.0,2.0,13.0,23.0,2.0,18,7.012088139851888,0.0083312988281249,0.0009260177612304,115.38035869598389,646.5672843388821,168.2901153564453,2,84.14505767822266,15.34,,15.34,15.34,15.34,15.34,,,15.34,1
3823,8b71ed7856900ba22a662c338a5b30869cd1310bb0c95968273eb57c3310b4ff8d266dd4a32268f87f29e3d2e30fc2a4dfeab402ecdebbee7ec933c2b5f94323,56.0,8.0,7.0,55.0,0.9821428571428572,10.0,27.0,8.0,25.0,27.0,8.0,0,0.0,0.0,0.0,0.0,,0.0,0,,72.44,,72.44,72.44,72.44,72.44,,,72.44,1
3399,94fb208ee7a8b4202e7d8bd7de751fda87a26dd33c9fdf40d24021f18e19b77ec976d42c0615e9097aeffc366f7f69185f7a72f91134d2b51f85d050f4d4711a,69.0,13.0,5.307692307692308,67.0,0.9710144927536232,19.0,19.0,10.0,4.0,22.0,10.0,9,0.3208495140075683,0.0369610786437987,0.0045661926269531,1.414449691772461,0.2685022150418262,3.208495140075684,1,3.208495140075684,38.5075,461.625425,50.0,6.32,48.855,154.03,-1.9850469563871287,10.742735045136316,48.855,1
3821,f25514f1213a4efc7036dbe0c712be56ba391eb03d837a170c051553599cd6632d76f99e77c2b4933de300445ac7d10e561629460e6a462b2932791e6a327011,328.0,16.0,20.5,328.0,1.0,13.0,57.0,18.0,10.0,67.0,30.0,0,0.0,0.0,0.0,0.0,,0.0,0,,17.650000000000002,66.535,21.0,1.0,21.0,105.9,-2.4493574749749456,3.330040039799321,21.0,1
3819,c58b0eb9bcc5a901415239b686cc1544234b4ee41a90d3108b343bc98843b6016fd5cfbad115b8621f9606288771fd1f45a381db9a896ebd9329c2992e08c252,96.0,5.0,19.2,83.0,0.8645833333333334,11.0,40.0,10.0,20.0,56.0,4.0,13,11.70051383972168,0.008765697479248,0.0027990341186523,81.91158008575441,883.1743543981709,163.80719375610352,1,163.80719375610352,54.71,,54.71,54.71,54.71,54.71,,,54.71,1
3817,e6ed7af0d8d84f7bea7271bdaf0106fe9f5f5b1730cbdae10b935ddbb9af3cf98897ddaa262847898619f9c06eec5d092c8ded3db7b796d809ba367a16249202,51.0,4.0,12.75,48.0,0.9411764705882352,14.0,29.0,6.0,29.0,32.0,3.0,0,0.0,0.0,0.0,0.0,,0.0,0,,91.33,190.5152000000002,101.09,81.57,91.33,182.66,,9.760000000000003,91.33,1
3407,b8370fac19ea042d8bf5c213c604eb57e3a6e13ed4a8e3196c6de978cf358024f8e28350f85bb593ea8e6c4a2200dec2224f1369ca756c04e277751aa097959a,5506.0,453.0,12.154525386313466,5369.0,0.9751180530330548,14.0,368.0,24.0,2.0,325.0,31.0,417,91.1649046947216,0.1654195785522461,3.910064697265625e-05,19254.650265693665,981652.1542586596,158626.9341688156,8,19828.36677110195,130.99875,702.6500125000001,170.4,104.2,125.85,1047.99,0.394178607283484,9.371832881699287,125.85,1
3409,4e4394deaa4dfa7cea9a9723f61d182ee28098bbe1f64994af65d57a8c48bae29997e91bb0d7c06f40aca4e7653cfce65b771357d02c3b60c51ad0c1b4924503,393.0,280.0,1.4035714285714285,212.0,0.539440203562341,12.0,43.0,20.0,9.0,33.0,29.0,2,0.2474352686028731,0.0216045379638671,0.0001220703125,1.224008560180664,0.1835413565469179,4.70127010345459,5,0.940254020690918,12.75125,39.70315535714286,23.55,7.22,10.74,102.01,0.6899126738905029,2.2277554667518733,10.74,1
3811,318faad2a48efc612c527b1bedacd0fa644b1f79498e61699ae09cc6087983afcbdd95029f0d91cee5b26eddc98c3a4b65bde32e5e8e390f200be8da7c3304dd,342.0,99.0,3.4545454545454546,328.0,0.95906432748538,10.0,76.0,21.0,29.0,59.0,24.0,130,27.800809385695896,0.1395215988159179,9.72747802734375e-05,1563.4533195495603,24558.600907875727,5754.76754283905,3,1918.2558476130168,75.205,10838.33645,148.82,1.59,75.205,150.41,,73.615,75.205,1
3825,e12d5a4448707b135da951efc4c7f8dd868a0a74eaefbdc62b28c0d7afff3a63ab58ab56da0837dca0944dda7a703cc631d00412e52c05f903fbb07df4b049dc,884.0,61.0,14.491803278688524,884.0,1.0,19.0,101.0,23.0,2.0,74.0,31.0,173,19.239698430358388,0.0864362716674804,6.771087646484375e-05,1345.6806726455686,7899.255891219055,11736.216042518616,8,1467.027005314827,60.743750000000006,75.44319821428573,74.4,53.5,56.92,485.9500000000001,0.6353396247931088,3.070895598483562,56.92,1
3415,d79fd0f7d2d4d93aef4d821f93d4e7baa9ce21764957bcbdc7d98f3bf29c996d11e394cbe70f588522a43e81df3dcab605f59dcf99ba6b44a15677d962f7b3db,14.0,3.0,4.666666666666667,11.0,0.7857142857142857,8.0,3.0,6.0,1.0,8.0,2.0,0,0.0,0.0,0.0,0.0,,0.0,0,,41.41,86.32979999999992,47.98,34.84,41.41,82.82,,6.569999999999996,41.41,1
3416,9bce21358df67efbad8b74fc8a7628bea6ade28dde6a1630c3017c611a9d0636f577e9117dce70176da2893fbea30d089ed9303d008a214570c8b15d3435c71d,75.0,14.0,5.357142857142857,70.0,0.9333333333333332,16.0,27.0,11.0,4.0,29.0,9.0,23,0.2712172269821167,0.0284442901611328,0.001922607421875,2.4361515045166016,0.3630995894181436,6.509213447570801,1,6.509213447570801,27.73,1187.7938,52.1,3.36,27.73,55.46,,24.37,27.73,1
3810,1e9ba151efedc3682e3ce7c2a07ee4eeae72ad9c7807349d0d1869635b9884788e46439629b5274f3e5275c9e63a4d6be30daee13b35b5be9bc69c2edce3121c,360.0,47.0,7.659574468085107,344.0,0.9555555555555556,9.0,44.0,24.0,16.0,42.0,30.0,95,6.144837415959847,0.114654541015625,7.43865966796875e-05,144.31101512908938,449.31263884508985,1284.271019935608,3,428.090339978536,22.98,36.4563,29.37,17.37,22.2,68.94,0.5716259705440604,3.485986230609639,22.2,1
3808,265459257a99e9f798d1f9d4ffe3fc451b373e1d60d6b8c93a4ab3742f0d0359f1ec8b795005df06bdc0534b31be2959005ad7972fef546cd91b5c63407ce462,72.0,13.0,5.538461538461538,68.0,0.9444444444444444,10.0,22.0,11.0,13.0,22.0,9.0,0,0.0,0.0,0.0,0.0,,0.0,0,,346.7925,444154.160225,1346.4,2.77,19.0,1387.17,1.9992071442169537,333.2244589706014,19.0,1
3420,6f8ae5491090a120a9f5b1e74c96b8d356f83391ed32ca618de60805e87a2e5b813ac09bb323033bc87766fa337d2adba5dcbaccce9f4483f8817a738b2395be,72.0,6.0,12.0,72.0,1.0,13.0,32.0,9.0,6.0,38.0,5.0,132,10.007175412442953,0.0840363502502441,0.0013046264648437,269.08338451385504,1577.8544211524527,1441.033259391785,2,720.5166296958924,16.38,,16.38,16.38,16.38,16.38,,,16.38,1
3807,575a20588c6be7bc601092fddac248084cb156980365d83220214903607a7223ae73ec735c52e90e5a7b98f2cb47d313350128a1ad1a664ee5086e006019d32d,125.0,11.0,11.363636363636363,123.0,0.984,11.0,32.0,12.0,23.0,32.0,25.0,10,0.4047266353260388,0.0108251571655273,0.0018348693847656,4.323690414428712,1.6894688003984402,4.451992988586427,1,4.451992988586427,66.02142857142857,302.94321428571425,72.6,26.55,72.6,462.15,-2.645751311064592,6.578571428571428,72.6,1
3422,d3466fc78601572006da74e7bec2030ac90f04673698167ff33ed007ed7f636eaaecc401f440876df899b588dbe4af8e8ed3a2c708467563642ea52826ca82d4,2004.0,374.0,5.358288770053476,1996.0,0.996007984031936,11.0,253.0,23.0,12.0,123.0,31.0,13,0.4061688815846163,0.022134780883789,0.0028438568115234,6.067915916442871,2.133424052429572,6.904870986938477,2,3.4524354934692383,34.96125,1160.6786696428571,89.5,10.72,17.365000000000002,279.69,1.3173388932196868,12.045116591604964,17.365000000000002,1
3397,886388478611433a4313f21b588930756e4f556511c8771a693d6118c6f7f67663773579d12c30a5e2d1a26b2c341ddb1e9e16098f5904eb774e5f026c1deb70,69.0,16.0,4.3125,66.0,0.9565217391304348,13.0,25.0,7.0,3.0,28.0,4.0,13,0.1347041130065917,0.0688066482543945,0.0004348754882812,0.3940696716308594,0.0215390054626228,1.885857582092285,1,1.885857582092285,29.425,1179.52245,53.71,5.14,29.425,58.85,,24.285,29.425,1
3394,3fa7808edb8e125570ab843d478e744e4e65086459e64ff4525afa795e19174a6bb53e73cc1738af689cad755b69e1edc602f9e369c3f4e9f2b2cb87377a116d,220.0,31.0,7.096774193548387,200.0,0.9090909090909092,12.0,45.0,12.0,18.0,93.0,15.0,28,0.2803582487435176,0.0125188827514648,0.0002965927124023,4.79789924621582,0.8461175579721211,8.130389213562012,1,8.130389213562012,40.425,963.1660499999998,62.37,18.48,40.425,80.85,,21.945,40.425,1
3756,b0ccbbbd49b354c3148c0e94d79cc820a5acd920be9618cb3cf00f431710710f2ec855e11654c26108f9539eaf26eef258d893e950471ea507153210cf20630b,500.0,116.0,4.310344827586207,267.0,0.534,15.0,106.0,12.0,28.0,92.0,21.0,20,0.267046882992699,0.0812835693359375,0.0081405639648437,1.0696249008178709,0.0936660040592392,5.60798454284668,1,5.60798454284668,71.49000000000001,10584.432866666666,224.79,11.2,24.985,285.96000000000004,1.9233702047858072,51.44033647505299,24.985,1
3377,26bf49b35d39198cb0eb3ff33464777693fdaaa5bd2f43f3fcfa1fb9e142174050f6fd9a6bff4593e7d496be1f47e440dc3d3e98188cd8fbc6773a257fce9fe3,10338.0,9748.0,1.060525235945835,8311.0,0.8039272586573806,17.0,2044.0,14.0,17.0,10121.0,17.0,27,0.0633830388387044,0.0109763145446777,0.0003566741943359,0.7995243072509766,0.0244111772036365,1.9014911651611328,2,0.9507455825805664,229.412,200609.28112,1029.96,17.56,19.58,1147.06,2.226863925577993,200.3044088980569,19.58,1
3362,47b410d5cac957c0adb6f95a083619b8e27d2682bfdcbee8b5d91ed8dede6422c70c9341fb3d3c37ca6f1ce8c9c21da4c435d176a020579002bf55e1e018743d,2848.0,908.0,3.1365638766519823,2718.0,0.9543539325842696,17.0,319.0,24.0,13.0,308.0,31.0,604,118.12542966872022,0.3948941230773926,0.0001096725463867,21707.394743919373,797719.5134122171,260820.94870853424,8,32602.61858856678,109.45,6.934285714285716,113.4,104.5,109.35,875.6,-0.5868227573126814,0.9310132728837512,109.35,1
3365,307b928b32329c53023d988232503bb4e8723891a07640e98fc18414151fbda0e6a11f8c1d5dfe50c612429b4286ca665d6da453ee30c330076175eaf57fffc2,145.0,71.0,2.0422535211267605,141.0,0.9724137931034482,17.0,21.0,12.0,12.0,38.0,11.0,0,0.0,0.0,0.0,0.0,,0.0,0,,1.7374999999999998,0.0055357142857142,1.9,1.7,1.7,13.9,1.9510301759000783,0.0263052140404575,1.7,1
3367,ea1fccf3409fed799bba9f3b8fccd7691fb292242022fd655af37480e6633d21799e5a699f4e30312ac7eacd66f39e3b5820baa57a6566b55bd6ab5144affaa4,373.0,18.0,20.72222222222222,325.0,0.871313672922252,11.0,60.0,20.0,1.0,91.0,14.0,12,0.2243525385856628,0.0051560401916503,0.0005455017089843,2.9195451736450195,0.538066472194589,3.589640617370605,2,1.7948203086853027,58.620000000000005,971.42176,113.26,25.2,46.0,351.72,1.2324272615930651,12.72413559605,46.0,1
3840,bad1276368ebfea8182ceb1feb5083f8f26dbf8b7e598bc276842eebcc712aae69bc48764e8acc7ce6965a41006fb7b946ee7d6b6fcf51953032ddc04eb3bb92,65.0,5.0,13.0,64.0,0.9846153846153848,15.0,16.0,9.0,3.0,21.0,5.0,8,0.0949640274047851,0.0383682250976562,0.0030717849731445,0.3684968948364258,0.0188550928089625,0.8546762466430661,1,0.8546762466430661,57.47,5601.0528,110.39,4.55,57.47,114.94,,52.92,57.47,1
3371,28bdf00e72b4b48e3fe95a6e7b55f757da065d1e28355a3ae039dcb8f8ecf4e53e626d96142ff82eab6171db0f9bbc832f34498f3689bdaf0b145d97a1f8a348,82.0,17.0,4.823529411764706,82.0,1.0,15.0,39.0,7.0,11.0,63.0,3.0,53,4.154006663235751,0.0438718795776367,0.0010232925415039,126.56341075897215,370.1206162026882,228.4703664779663,1,228.4703664779663,24.55,,24.55,24.55,24.55,24.55,,,24.55,1
3839,48ab0417938a12d8dca2c80e5d296735ed85ed67fc69ebe987041669a9f59585a22f916d38356b385f000398bcf5d26fe57c0c5bd37154ddd269b959de3fa3e7,28.0,19.0,1.4736842105263157,28.0,1.0,10.0,6.0,11.0,8.0,5.0,11.0,0,0.0,0.0,0.0,0.0,,0.0,0,,,,,,,0.0,,,,1
3375,275194399ca2a788eaa60e464184a89e4faca3669caca61340092391bba241ae29b1278461c36cffad0f6f90e3b397dee9b636d0b02a8ad36a7cb95062f4b04f,99.0,21.0,4.714285714285714,62.0,0.6262626262626263,15.0,33.0,10.0,26.0,22.0,11.0,0,0.0,0.0,0.0,0.0,,0.0,0,,45.83500000000001,2367.145366666666,118.61,19.0,22.865,183.34000000000003,1.9670082409472245,24.32665907326089,22.865,1
3379,243feee1b2cb7892f80ca9262e1bc2456e6dc6a68a7d12171617fc19317ba952b6b4f7f390d7dd629f10c09a0b2ac5d2f6f19503c4bfe52db0ae9c376dad22c0,17.0,5.0,3.4,17.0,1.0,14.0,5.0,5.0,29.0,5.0,4.0,0,0.0,0.0,0.0,0.0,,0.0,0,,16.310000000000002,335.4050000000001,29.26,3.36,16.310000000000002,32.620000000000005,,12.95,16.310000000000002,1
3826,d4505f0ba4856245730f32f2dbccc868e80373d44a02e5253d3697acf500d834952871cb67ca93a6faa4f4ab351254de666c8691ac0a9adb0f22ac668ba0a8db,704.0,158.0,4.455696202531645,697.0,0.9900568181818182,10.0,78.0,21.0,9.0,102.0,30.0,152,14.280384721702704,0.1395258903503417,7.62939453125e-05,1401.1543445587158,8531.738351304331,5112.377730369568,4,1278.094432592392,53.035,2640.5204857142858,112.09,6.0,41.245,424.28,0.1405709852119066,18.167692773555085,41.245,1
3380,ba09516702a852f4948dfa91fcfc840b390cd124ec677e59773b312e841bf5cfeca27085c731bf281af441b0acb1bbf62a2386ca34309b28b12c87885dcb4579,58.0,3.0,19.33333333333333,52.0,0.896551724137931,17.0,13.0,9.0,25.0,34.0,5.0,75,35.71357734579789,0.2139406204223632,0.0010719299316406,1285.8828783035276,28067.18758880421,2714.23187828064,1,2714.23187828064,17.41,,17.41,17.41,17.41,17.41,,,17.41,1
3381,a44d66685fb336a05db55dc33bd07014efc4cd0a827fa4d5f1a2292c859f0ba979ea7507df0a749e73a6933c20fe531f3a087e43e4d55166325fc424fa82de10,300.0,34.0,8.823529411764707,285.0,0.95,10.0,96.0,16.0,20.0,52.0,30.0,18,6.704144560772439,0.0122833251953125,7.43865966796875e-05,153.14593124389646,1019.1087990238884,154.19532489776608,3,51.39844163258869,38.646,117.80658,43.5,19.23,43.5,193.23,-2.2360679774997902,4.853999999999999,43.5,1
3383,d9ee8fd634d7d13e35bdf0bd687336966c8b41a8f65c18031cfb02908222b410460b98ba4ff7b2faa0a204b4fe9b412ee3e4f6286fd1d42d8e13001a9b0de04f,64.0,11.0,5.818181818181818,61.0,0.953125,20.0,33.0,8.0,19.0,30.0,7.0,7,2.657469153404236,0.0119791030883788,0.0024795532226562,21.178844451904297,56.00677880469861,21.259753227233887,1,21.259753227233887,,,,,,0.0,,,,1
3385,6ed6da768c00334b08845501c46b55f25cf1c42dc81feffd17958adb737b27b552c7f392b845186c3fc7a5fd6426db7c479c1ae0a083108bd760eca8a8172abd,2476.0,211.0,11.734597156398104,2420.0,0.9773828756058158,17.0,435.0,22.0,10.0,108.0,31.0,0,0.0,0.0,0.0,0.0,,0.0,0,,11.63125,1.0954696428571429,13.92,11.0,11.0,93.05,1.82316968771032,0.3700455449767539,11.0,1
3831,af792653341c5a1396881bfd745d13acc323a71b52bfe82ff2bf6fe2eca0aa1c46f6274a0aa5e2623a49095073d1260f6f6616a45fa07ad4c68f3a0163df0e56,1569.0,294.0,5.336734693877551,1508.0,0.9611217335882728,11.0,189.0,23.0,12.0,112.0,31.0,195,37.667404712280096,0.1214690208435058,0.0001821517944335,4341.354668617249,74068.84431467752,26065.844060897827,8,3258.2305076122284,124.89625,4051.1316839285714,222.18,39.0,120.94,999.17,0.3568561098406244,22.503143346898703,120.94,1
3829,3192a2887fb7a7bfa1fe3b594a8c107845d5097a903ee6cbb566210296898cb94fd9a2b7e54cc8b4ed9fc24599d02e45f281068f81d45514fbc24495f30685f1,18.0,9.0,2.0,18.0,1.0,2.0,4.0,9.0,9.0,7.0,5.0,0,0.0,0.0,0.0,0.0,,0.0,0,,1.2,,1.2,1.2,1.2,1.2,,,1.2,1
3390,3b741425180c20cb54d4557ccfdcde33c1f2d056fac32ca90b19e02260494ef5e8767cc27c40ac02bb36203ac1eb26e6fa7bdfc26c58a3ad911e282746f2bc75,513.0,40.0,12.825,500.0,0.9746588693957114,15.0,67.0,16.0,25.0,79.0,31.0,22,5.343681045200513,0.0178537368774414,0.0002508163452148,122.38135528564452,650.9302027519142,122.9046640396118,1,122.9046640396118,38.64142857142857,132.98001428571425,43.0,12.49,43.0,270.49,-2.6457513110645894,4.358571428571428,43.0,1
3423,308769b2f27a7bf08df16ead871f122269b6ad0645eb8efad090ed7a065f037d88e8755f710667651d74c34be5ea3d7fccdcb5f65d4cc34f2d93cc0bf1f6094b,42.0,8.0,5.25,37.0,0.8809523809523809,8.0,21.0,6.0,20.0,13.0,6.0,14,8.36789067586263,0.0164012908935546,0.0005302429199218,124.34566974639893,1029.4214600377338,125.51836013793944,1,125.51836013793944,16.490000000000002,12.600199999999996,19.0,13.98,16.490000000000002,32.980000000000004,,2.51,16.490000000000002,1
3806,24af92803c9bee4bba9e3cb6cf73548de7decaf5fc63b6f0a20f7d4b5179e3ba9472d49960ca99bb33a03dd114bf01296d6822e7524f3d7d018889402a77db90,6.0,4.0,1.5,5.0,0.8333333333333334,14.0,3.0,4.0,11.0,6.0,1.0,1,0.0001068115234375,0.0001068115234375,0.0001068115234375,0.0001068115234375,,0.0001068115234375,1,0.0001068115234375,21.14,225.4792,41.42,5.14,19.0,84.56,0.8319334799809642,7.5079824187327455,19.0,1
3425,56dab84e4740b8cd0a66dc5c5e475df8d164f8ca815cf4248a8fb3f763487cbe5238a4be079b22a8d6ccdfdbcda3a5117257607359820231cc4249518bc95d67,355.0,341.0,1.0410557184750733,184.0,0.5183098591549296,23.0,329.0,11.0,15.0,329.0,10.0,0,0.0,0.0,0.0,0.0,,0.0,0,,6.005000000000001,135.51791428571428,34.2,1.0,1.0,48.040000000000006,2.616132960589023,4.1157914531368425,1.0,1
3478,b44524b7ceaf3afc6610d7b39e1439ac5886f7bd696085afb5459434d01da2bf40fb45eaa61b1d65b1365a6f59bfecfe7879e0072a89eb32a04d9a634445034a,2125.0,28.0,75.89285714285714,1725.0,0.8117647058823529,3.0,355.0,24.0,13.0,175.0,31.0,3,1.1300992965698242,0.0041151046752928,0.0002593994140625,4.511907577514648,5.082952811868988,4.520397186279297,3,1.5067990620930989,54.456,884.5251299999998,69.6,1.59,69.6,272.28,-2.16866077855488,13.300564875222404,69.6,1
3465,96c5c12fd647361c2fcab886df82c790f141653f95cb8111686899df629ef37ab85aeab1eaccc917951ef9b71047934836456de0a13937cae85fee1fe464697c,365.0,311.0,1.1736334405144695,55.0,0.1506849315068493,9.0,314.0,7.0,2.0,325.0,7.0,9,21.941562461853028,0.0469388961791991,0.0010147094726562,218.97111892700195,4792.676323066592,219.41562461853027,1,219.41562461853027,38.172,1287.99327,98.92,11.55,19.0,190.86,1.7243165805884653,16.04988018646868,19.0,1
3777,89e13605b860b884e5b5f56908e622960122308f0b3a4473b48184892eeba1ceb65055578d74ad5ed0a0798cdf1ce659096114f8e4bad0489e1f34b0150fe983,3499.0,3422.0,1.02250146113384,89.0,0.0254358388110888,16.0,1559.0,10.0,27.0,3448.0,9.0,0,0.0,0.0,0.0,0.0,,0.0,0,,108.56,25690.9784,348.14,19.2,33.45,434.24,1.958789199589679,80.14202767587054,33.45,1
3469,ade07f99f300473fa580c135370410b500d89481c3b8ce7da8f2a90c070133feffbe667edf7060abe6f15d5cdccf43afdd5bb0af405c786c139a759139c056f0,116.0,14.0,8.285714285714286,99.0,0.853448275862069,19.0,17.0,13.0,7.0,28.0,12.0,10,0.1750844608653675,0.0094881057739257,0.0029172897338867,1.4729223251342771,0.1942126732332822,1.9259290695190427,1,1.9259290695190427,48.44,1414.8703999999998,97.6,19.0,38.58,193.76,0.8604717700353016,18.807381529601614,38.58,1
3472,980ac6e344d4eb50a97218fbfd9d18f201bc07f6d885fa564adf6d79a0c8e97444f31fa31c4c44a0dd107c0abdc275dc5e984c038b1c7958347412c3a430a66a,48.0,4.0,12.0,45.0,0.9375,11.0,10.0,9.0,10.0,24.0,3.0,5,0.0366638501485188,0.0084409713745116,0.0001411437988281,0.1841249465942382,0.0052550021826088,0.2199831008911129,1,0.2199831008911129,190.02,,190.02,190.02,190.02,190.02,,,190.02,1
3772,afbc570ace058cd614c42e2852ef1582f296d90aa635f49e6c4d2d75879bc71360c9b6d7cfd68420ae4eb1c300d4ddb4b17f74015c5378b71441da589ec5c324,2938.0,416.0,7.0625,2893.0,0.9846834581347856,14.0,241.0,24.0,19.0,139.0,31.0,289,33.23488329170206,0.3198728561401367,9.918212890625e-05,2150.5257501602173,23788.557365670986,49320.56680488586,8,6165.070850610733,78.68375,153.78445535714286,93.81,58.43,77.195,629.47,-0.3455017866069237,4.384410669593218,77.195,1
3475,d1a7837363a22bdac1216a5b6a0f487f06e405719f238799c4958cdd4bd3011bbb3b2d001bffd1f378b3ba1dc660bc2636c09558a0f1557c54196dbf1fe6fe4e,976.0,143.0,6.825174825174825,770.0,0.7889344262295082,22.0,87.0,22.0,24.0,91.0,31.0,386,62.91503633283553,0.3606681823730469,7.62939453125e-05,6237.638869285584,116061.6838114555,101859.44382286072,6,16976.573970476788,116.71333333333337,1152.901106666667,162.69,70.1,118.36,700.2800000000001,-0.0440925721733588,13.861824715543204,118.36,1
3770,8f90eb73bab9ef5ef0cc60c89f0e36c14ddee5e9861a540c5f9cc629a897939c15e1e889e6060cbe991b2d7688227cd16c03afe9aaa2f3aa13ed727d966fc925,82.0,10.0,8.2,78.0,0.951219512195122,12.0,60.0,8.0,5.0,60.0,3.0,33,3.52804066005506,0.0322680473327636,0.0008125305175781,74.5352077484131,200.22317730105905,134.06554508209229,1,134.06554508209229,98.66,,98.66,98.66,98.66,98.66,,,98.66,1
3768,fd2e6db632e8ec91172c8e0ab1fd75b28a9b5beeaeda9a0cd8ec1a38d95f1e21774c6207f63dcfbbd54d68e6ec9c756dd9034f4e24f52a42cb4528245987863a,130.0,18.0,7.222222222222222,129.0,0.9923076923076924,12.0,45.0,13.0,4.0,35.0,24.0,117,39.7488508482237,0.0909719467163085,0.0001163482666015,5137.337909698485,178679.52976787987,5882.8299255371085,3,1960.9433085123687,29.59,,29.59,29.59,29.59,29.59,,,29.59,1
3426,56df2025db431d5dbfc1750a1c096c7b80891fb27e3d64495f3bfcaa2eae52a2a9dd080b282c0e00cbf599ad118c3165033684552c157f5331fb2950f7f7813d,148.0,34.0,4.352941176470588,144.0,0.972972972972973,14.0,32.0,10.0,9.0,48.0,12.0,79,25.73365271091461,0.2107696533203124,0.0004615783691406,982.576301574707,23357.85021164397,2058.692216873169,1,2058.692216873169,28.395000000000003,222.81605000000008,38.95,17.84,28.395000000000003,56.790000000000006,,10.555,28.395000000000003,1
3763,c012e026dc28bf462b889735aa2d258e0efcf9231f1534ebb43c7a4f4926788a93f8877d4f0c8d3cc3e005ece5f440f5d55731e38ede5d6520ecf6445f61ad7d,75.0,7.0,10.714285714285714,63.0,0.84,10.0,14.0,11.0,18.0,56.0,5.0,24,0.3497279739379882,0.017892837524414,0.0023975372314453,5.0745811462402335,1.3412634034832445,8.743199348449707,1,8.743199348449707,82.77,,82.77,82.77,82.77,82.77,,,82.77,1
3485,0b65c107cd743522ad6cb73bace5a232370aaf36bef9787c153e7e73e384094d6b106a84ad45e9d294172bfe490da27c3508ee326b64ff932efd45e04cccf4a6,348.0,32.0,10.875,345.0,0.9913793103448276,13.0,57.0,18.0,8.0,45.0,31.0,265,52.015010838292376,0.2372345924377441,7.43865966796875e-05,9367.380622863771,245108.8473011188,43588.57908248901,6,7264.763180414836,32.10333333333333,33.88106666666666,39.33,25.0,32.015,192.62,0.0277215002204483,2.376308995994512,32.015,1
